"Année de naissance";"Sexe";"Age";"Quotient de mortalité par âge x (Qx)"
"1909";"Homme";"113 ans";1.000000
"1909";"Homme";"114 ans";1.000000
"1909";"Homme";"115 ans";1.000000
"1909";"Homme";"116 ans";1.000000
"1909";"Homme";"117 ans";1.000000
"1909";"Homme";"118 ans";1.000000
"1909";"Homme";"119 ans";1.000000
"1909";"Homme";"120 ans";1.000000
"1910";"Homme";"65 ans";0.025692
"1910";"Homme";"66 ans";0.027545
"1910";"Homme";"67 ans";0.031072
"1910";"Homme";"68 ans";0.033542
"1910";"Homme";"69 ans";0.034823
"1910";"Homme";"70 ans";0.040380
"1910";"Homme";"71 ans";0.042071
"1910";"Homme";"72 ans";0.046788
"1910";"Homme";"73 ans";0.047615
"1910";"Homme";"74 ans";0.051691
"1910";"Homme";"75 ans";0.054681
"1910";"Homme";"76 ans";0.059923
"1910";"Homme";"77 ans";0.061386
"1910";"Homme";"78 ans";0.068198
"1910";"Homme";"79 ans";0.076047
"1910";"Homme";"80 ans";0.083314
"1910";"Homme";"81 ans";0.092985
"1910";"Homme";"82 ans";0.098013
"1910";"Homme";"83 ans";0.108950
"1910";"Homme";"84 ans";0.114305
"1910";"Homme";"85 ans";0.127924
"1910";"Homme";"86 ans";0.134497
"1910";"Homme";"87 ans";0.151619
"1910";"Homme";"88 ans";0.167643
"1910";"Homme";"89 ans";0.169822
"1910";"Homme";"90 ans";0.184953
"1910";"Homme";"91 ans";0.217693
"1910";"Homme";"92 ans";0.230619
"1910";"Homme";"93 ans";0.259953
"1910";"Homme";"94 ans";0.263449
"1910";"Homme";"95 ans";0.293280
"1910";"Homme";"96 ans";0.292252
"1910";"Homme";"97 ans";0.306269
"1910";"Homme";"98 ans";0.335098
"1910";"Homme";"99 ans";0.339623
"1910";"Homme";"100 ans";0.435714
"1910";"Homme";"101 ans";0.419211
"1910";"Homme";"102 ans";0.293957
"1910";"Homme";"103 ans";0.483871
"1910";"Homme";"104 ans";0.687500
"1910";"Homme";"105 ans";0.200000
"1910";"Homme";"106 ans";0.500000
"1910";"Homme";"107 ans";0.500000
"1910";"Homme";"108 ans";1.000000
"1910";"Homme";"109 ans";1.000000
"1910";"Homme";"110 ans";1.000000
"1910";"Homme";"111 ans";1.000000
"1910";"Homme";"112 ans";1.000000
"1910";"Homme";"113 ans";1.000000
"1910";"Homme";"114 ans";1.000000
"1910";"Homme";"115 ans";1.000000
"1910";"Homme";"116 ans";1.000000
"1910";"Homme";"117 ans";1.000000
"1910";"Homme";"118 ans";1.000000
"1910";"Homme";"119 ans";1.000000
"1910";"Homme";"120 ans";1.000000
"1911";"Homme";"65 ans";0.025629
"1911";"Homme";"66 ans";0.027119
"1911";"Homme";"67 ans";0.029917
"1911";"Homme";"68 ans";0.031058
"1911";"Homme";"69 ans";0.033440
"1911";"Homme";"70 ans";0.035895
"1911";"Homme";"71 ans";0.040123
"1911";"Homme";"72 ans";0.041583
"1911";"Homme";"73 ans";0.046328
"1911";"Homme";"74 ans";0.050792
"1911";"Homme";"75 ans";0.053603
"1911";"Homme";"76 ans";0.057050
"1911";"Homme";"77 ans";0.063651
"1911";"Homme";"78 ans";0.069591
"1911";"Homme";"79 ans";0.073635
"1911";"Homme";"80 ans";0.082276
"1911";"Homme";"81 ans";0.084059
"1911";"Homme";"82 ans";0.096940
"1911";"Homme";"83 ans";0.104926
"1911";"Homme";"84 ans";0.114869
"1911";"Homme";"85 ans";0.122916
"1911";"Homme";"86 ans";0.146905
"1911";"Homme";"87 ans";0.148954
"1911";"Homme";"88 ans";0.164130
"1911";"Homme";"89 ans";0.175451
"1911";"Homme";"90 ans";0.193202
"1911";"Homme";"91 ans";0.219474
"1911";"Homme";"92 ans";0.224080
"1911";"Homme";"93 ans";0.239479
"1911";"Homme";"94 ans";0.267717
"1911";"Homme";"95 ans";0.268862
"1911";"Homme";"96 ans";0.278248
"1911";"Homme";"97 ans";0.342227
"1911";"Homme";"98 ans";0.334365
"1911";"Homme";"99 ans";0.390943
"1911";"Homme";"100 ans";0.422787
"1911";"Homme";"101 ans";0.493333
"1911";"Homme";"102 ans";0.421053
"1911";"Homme";"103 ans";0.363636
"1911";"Homme";"104 ans";0.565637
"1911";"Homme";"105 ans";0.577778
"1911";"Homme";"106 ans";0.666667
"1911";"Homme";"107 ans";0.000000
"1911";"Homme";"108 ans";1.000000
"1911";"Homme";"109 ans";1.000000
"1911";"Homme";"110 ans";1.000000
"1911";"Homme";"111 ans";1.000000
"1911";"Homme";"112 ans";1.000000
"1911";"Homme";"113 ans";1.000000
"1911";"Homme";"114 ans";1.000000
"1911";"Homme";"115 ans";1.000000
"1911";"Homme";"116 ans";1.000000
"1911";"Homme";"117 ans";1.000000
"1911";"Homme";"118 ans";1.000000
"1911";"Homme";"119 ans";1.000000
"1911";"Homme";"120 ans";1.000000
"1912";"Homme";"65 ans";0.026553
"1912";"Homme";"66 ans";0.027181
"1912";"Homme";"67 ans";0.027842
"1912";"Homme";"68 ans";0.032709
"1912";"Homme";"69 ans";0.031649
"1912";"Homme";"70 ans";0.037627
"1912";"Homme";"71 ans";0.037201
"1912";"Homme";"72 ans";0.041733
"1912";"Homme";"73 ans";0.045774
"1912";"Homme";"74 ans";0.050230
"1912";"Homme";"75 ans";0.052162
"1912";"Homme";"76 ans";0.061351
"1912";"Homme";"77 ans";0.066722
"1912";"Homme";"78 ans";0.066944
"1912";"Homme";"79 ans";0.071591
"1912";"Homme";"80 ans";0.078198
"1912";"Homme";"81 ans";0.087912
"1912";"Homme";"82 ans";0.092888
